recency,frequency,monetary
544,1,14.99
55,3,219.21
540,1,21.74
544,1,25.99
544,1,14.37
225,2,42.97
179,7,1769.3
164,2,45.8
544,1,25.94
503,1,43.95
544,1,31.99
544,1,47.98
299,4,214.98
544,1,24.98
544,1,108.72
544,1,16.36
364,3,206.83
412,3,215.32
544,1,24.99
20,3,293.94
544,1,14.99
544,1,10.99
544,1,11.97
544,1,14.99
16,2,102.4
48,4,183.55
14,5,303.61
544,1,64.44
15,4,284.94
544,1,33.31
544,1,40.7
397,3,158.27
544,1,28.13
544,1,24.96
544,1,41.11
544,1,14.96
27,4,219.25
544,1,14.79
529,1,39.98
544,1,13.97
100,3,200.7
1,2,112.23
544,1,19.94
544,1,36.71
528,2,84.99
386,2,59.66
528,1,24.99
481,1,24.74
406,2,181.16
232,2,92.28
222,5,478.53
536,3,509.26
49,2,92.1
543,1,23.99
524,1,64.96
245,2,164.48
544,1,17.3
535,2,69.05
17,5,173.17
449,1,85.96
488,1,73.91
531,1,27.73
289,1,78.85
544,1,11.97
544,1,15.76
500,2,167.79
514,3,158.03
544,1,34.97
135,3,122.06
544,1,43.13
544,1,13.97
544,1,21.99
544,1,14.37
544,1,17.9
544,1,13.99
544,1,13.97
543,1,15.76
529,1,24.99
30,3,117.49
62,8,1154.78
544,1,20.0
543,1,11.77
160,1,32.79
529,2,60.97
231,1,27.76
544,1,15.76
22,3,203.37
544,1,28.34
544,1,13.77
541,2,72.07
251,2,39.12
544,1,11.77
521,2,120.13
9,14,4063.3
544,1,21.74
544,1,30.39
264,1,32.35
544,1,15.36
203,3,196.73
186,2,56.88
479,1,25.78
544,1,13.97
383,1,26.53
544,1,15.7
544,1,11.99
544,1,28.76
544,1,11.77
539,1,12.97
544,1,11.77
544,1,19.94
544,1,14.99
543,1,9.98
543,1,14.96
16,3,222.14
543,1,24.98
543,1,27.13
543,1,23.99
249,2,116.73
543,1,11.99
291,1,40.76
543,1,52.68
538,1,14.79
543,1,71.44
543,1,8.97
543,1,11.97
543,1,58.99
543,1,15.9
543,1,29.58
543,1,11.77
503,1,13.97
543,1,26.69
543,1,14.37
543,1,9.99
378,1,33.24
543,1,13.97
543,1,51.3
543,1,45.67
543,1,37.98
481,1,14.96
248,3,321.34
33,4,685.46
54,3,284.99
50,3,151.46
440,1,71.44
543,1,23.95
543,1,125.02
543,1,24.96
543,1,15.75
539,1,60.27
543,1,39.48
529,2,202.28
542,1,29.6
543,1,49.67
29,3,243.27
543,1,44.97
21,4,361.21
372,1,23.93
371,1,52.4
30,3,657.87
441,2,118.98
99,2,156.39
64,5,291.87
6,2,79.0
245,2,101.23
151,3,216.17
503,2,53.5
14,3,173.38
258,2,31.72
460,2,52.87
543,1,19.99
543,1,14.99
543,1,29.99
543,1,15.96
543,1,13.9
543,1,15.36
543,1,14.37
236,2,111.45
141,4,206.43
529,1,11.77
45,3,329.16
224,11,2849.64
291,4,220.46
543,1,40.3
193,3,85.17
175,2,42.32
42,1,41.34
428,3,121.24
23,3,203.86
529,1,31.32
191,2,90.15
283,2,91.32
375,1,39.71
233,3,81.1
303,2,40.11
543,1,15.36
509,1,19.54
333,3,374.6
543,1,24.13
543,1,68.97
543,1,53.68
96,1,39.98
543,1,81.96
25,4,214.6
204,5,488.33
40,2,123.66
265,1,25.76
543,1,12.49
379,1,49.97
88,1,52.59
519,2,78.91
26,1,48.14
543,1,29.92
375,2,76.21
42,6,1025.01
543,1,13.77
532,1,32.27
543,1,59.97
543,1,32.72
251,4,216.87
249,2,41.25
42,4,387.87
543,1,15.76
543,1,21.99
60,3,274.63
543,1,37.47
76,1,26.95
508,1,29.33
340,5,244.23
507,1,13.97
65,6,598.57
543,1,27.92
543,1,12.97
27,1,42.48
538,1,27.94
543,1,15.36
543,1,35.12
532,1,16.99
61,3,255.67
543,1,9.77
103,2,101.18
140,1,40.72
365,2,71.97
536,2,124.94
204,2,48.94
543,1,15.36
543,1,24.99
543,1,11.77
68,3,122.65
428,1,75.22
395,2,63.91
80,3,169.89
543,1,71.49
543,1,14.96
27,5,670.0
543,1,9.97
543,1,12.77
110,2,153.71
8,3,242.08
543,1,23.54
543,1,11.97
374,2,44.28
335,4,220.64
461,1,119.03
543,1,26.14
21,3,103.53
193,1,25.76
367,2,37.3
543,1,14.77
331,2,155.31
543,1,24.99
543,1,22.54
543,1,58.98
543,1,15.36
543,1,46.69
543,1,15.96
543,1,29.98
513,2,84.58
431,3,187.88
543,1,13.97
543,1,8.77
543,1,32.37
81,2,47.38
543,1,14.37
372,1,61.25
543,1,21.75
2,5,411.62
543,1,12.49
391,1,31.32
543,1,15.99
524,2,51.93
543,1,37.11
543,1,13.97
60,2,148.41
197,1,21.47
542,1,89.54
543,1,16.7
147,2,134.19
542,1,121.34
161,2,85.35
161,2,36.42
543,1,17.36
543,1,12.49
543,1,24.98
543,1,14.9
5,7,2502.3
15,4,465.1
124,2,58.6
543,1,21.37
507,2,42.92
543,1,6.79
207,1,48.66
9,1,63.71
539,1,34.98
543,1,26.98
543,1,31.13
60,2,198.79
543,1,14.79
543,1,67.75
543,1,13.97
529,2,88.26
543,1,9.77
543,1,21.7
12,4,651.14
127,6,855.38
229,2,71.94
232,2,115.19
543,1,125.6
336,2,36.91
15,1,49.95
543,1,28.74
38,4,200.32
512,1,19.96
479,1,69.84
543,1,15.36
542,1,43.13
519,2,129.15
534,1,15.7
210,2,271.2
543,1,12.49
346,4,344.0
525,2,77.22
543,1,49.97
543,1,36.74
543,1,63.62
543,1,29.37
543,1,57.98
219,2,72.37
493,2,46.08
543,1,52.99
311,2,70.42
543,1,9.77
30,5,890.57
201,1,30.36
71,2,53.43
543,1,9.97
543,1,23.54
523,2,87.59
67,2,86.33
179,3,349.43
358,4,219.83
212,5,292.82
543,1,43.49
543,1,55.53
543,1,12.77
543,1,34.72
59,3,208.72
190,4,394.8
543,1,12.49
542,1,186.67
36,3,213.45
542,1,9.97
303,3,149.52
542,1,15.9
171,2,142.18
394,1,58.32
542,1,10.77
12,8,598.65
230,4,267.88
542,1,11.97
542,1,60.33
542,1,179.01
542,1,14.96
92,2,99.44
2,2,270.37
542,1,28.77
537,1,50.6
542,1,33.51
485,1,30.32
542,1,13.97
542,1,12.49
3,7,775.93
534,1,23.54
154,3,213.73
128,4,258.96
511,1,9.77
542,1,44.14
542,1,11.77
103,3,83.78
3,3,101.52
107,3,249.64
542,1,25.14
21,4,458.13
521,1,27.74
542,1,18.36
223,3,254.86
542,1,33.52
490,2,128.08
509,2,121.25
527,1,9.77
542,1,35.31
542,1,99.8
520,1,28.14
517,5,279.67
135,1,37.19
256,2,93.34
394,2,123.5
542,1,11.97
18,6,600.37
162,6,876.69
542,1,34.94
186,3,269.42
462,2,66.75
542,1,11.75
158,1,71.04
542,1,53.98
542,1,13.77
542,1,21.37
542,1,21.98
542,1,16.56
230,3,466.46
270,3,92.86
542,1,14.99
542,1,14.99
200,2,79.21
533,1,29.95
527,1,60.96
316,3,145.76
542,1,11.77
55,3,298.05
88,4,452.28
542,1,37.51
42,2,134.39
58,1,143.94
237,6,553.71
532,1,44.38
542,1,12.49
542,1,42.7
524,1,44.51
370,2,112.17
195,3,212.23
542,1,24.94
533,1,26.73
285,3,92.42
43,3,158.93
132,2,81.94
542,1,49.99
542,1,43.7
542,1,11.77
519,2,107.31
542,1,34.34
542,1,53.47
542,1,44.88
542,1,49.98
113,3,325.46
20,1,24.26
542,1,11.77
199,4,180.94
58,2,177.78
542,1,16.99
449,1,99.36
542,1,14.99
542,1,14.3
542,1,14.37
537,2,49.95
73,5,270.85
350,2,54.64
535,1,36.99
542,1,82.89
542,1,11.77
542,1,16.7
115,4,1024.84
537,1,9.98
521,1,33.35
500,2,47.08
17,3,156.27
0,3,153.05
542,1,109.28
153,2,116.44
423,2,37.71
56,2,180.31
542,1,36.35
542,1,14.99
542,1,145.47
542,1,28.33
235,2,41.92
542,1,20.54
542,1,22.77
514,2,45.28
317,1,64.64
542,1,38.76
542,1,15.36
542,1,27.13
39,2,283.41
542,1,42.67
475,3,73.06
542,1,12.77
542,1,27.94
189,2,82.18
542,1,89.24
542,1,8.97
205,3,136.59
475,1,68.29
40,3,250.26
540,1,24.98
539,1,47.48
110,3,249.24
282,2,84.94
183,3,134.94
178,4,327.36
429,3,103.36
455,3,175.64
511,2,74.02
26,2,91.33
109,2,25.44
449,4,392.04
380,1,51.02
542,1,24.98
542,1,14.99
536,1,16.36
108,4,441.01
542,1,14.9
542,1,25.13
120,3,119.51
147,2,52.3
478,1,34.98
542,1,35.99
214,2,93.63
152,3,214.99
506,2,74.23
341,2,75.72
542,1,45.69
535,1,68.47
101,3,157.56
542,1,31.98
542,1,15.36
542,1,58.66
468,2,97.62
542,1,34.69
542,1,68.65
542,1,117.1
540,1,17.9
542,1,27.77
541,1,98.38
26,3,213.93
542,1,75.81
542,1,14.37
39,1,106.5
542,1,21.75
498,1,33.35
134,1,67.15
542,1,14.96
528,1,32.98
339,1,26.74
542,1,29.33
542,1,46.99
542,1,18.36
541,1,95.73
542,1,13.97
542,1,28.99
437,1,25.39
96,5,399.59
19,6,493.23
101,2,308.38
541,1,48.5
541,1,137.11
541,1,44.69
199,3,176.18
541,1,77.25
491,2,41.9
292,2,246.7
541,1,14.96
538,2,51.31
33,2,121.82
196,5,284.89
204,2,54.24
211,2,42.43
472,2,35.31
541,1,79.55
262,4,256.25
74,4,279.87
61,3,102.15
526,1,8.99
408,2,73.03
54,2,44.22
541,1,44.75
149,3,257.88
541,1,31.32
541,1,14.37
517,2,46.95
409,3,86.38
496,1,40.6
541,1,21.74
540,1,54.67
423,2,74.62
541,1,38.99
541,1,96.36
541,1,19.7
263,1,24.76
541,1,9.97
53,4,224.9
531,2,51.75
541,1,29.73
345,2,73.44
541,1,14.7
541,1,24.98
541,1,62.25
14,2,113.32
374,2,154.18
371,1,28.14
541,1,14.48
450,3,243.61
415,3,204.93
541,1,31.32
60,4,357.96
541,1,55.88
541,1,33.96
489,2,108.93
541,1,12.77
28,3,215.17
541,1,283.97
263,2,74.34
541,1,15.99
136,2,93.91
497,1,42.7
541,1,75.82
541,1,11.77
30,4,149.13
434,4,178.27
539,1,32.31
489,2,71.62
541,1,14.37
541,1,21.76
541,1,13.97
541,1,11.77
121,3,108.0
541,1,25.74
541,1,33.4
447,2,108.14
496,3,93.18
541,1,31.52
541,1,155.37
541,1,29.92
541,1,11.77
541,1,14.96
397,2,52.48
541,1,45.31
479,1,63.54
198,2,132.03
541,1,71.45
83,3,151.9
420,2,65.06
541,1,14.37
19,2,226.71
541,1,14.37
541,1,26.99
541,1,68.84
7,2,63.83
317,3,176.4
9,9,3324.49
34,1,45.84
541,1,66.0
541,1,14.99
541,1,29.98
89,2,79.73
3,4,322.23
36,4,185.1
65,3,295.03
205,2,83.29
40,3,183.82
541,1,47.07
279,3,110.47
541,1,17.56
461,2,103.61
5,3,290.18
541,1,24.99
17,2,183.23
531,1,21.75
541,1,13.97
541,1,155.24
541,1,11.77
13,4,301.3
365,2,71.09
540,1,51.88
541,1,41.1
71,2,62.69
541,1,40.67
541,1,14.37
373,2,56.46
116,2,190.81
541,1,13.97
541,1,75.45
125,2,93.0
541,1,11.77
541,1,33.99
184,2,48.97
540,1,19.99
541,1,14.37
519,1,14.96
541,1,9.77
423,1,23.54
127,1,56.71
162,3,138.46
321,1,81.77
541,1,19.96
541,1,26.13
460,1,28.14
540,1,64.28
541,1,14.37
541,1,13.99
541,1,13.97
541,1,14.99
541,1,71.63
66,2,79.38
32,2,126.87
541,1,42.98
540,1,32.95
541,1,11.77
59,4,169.03
541,1,16.0
417,1,35.91
541,1,13.97
541,1,16.7
492,1,29.9
497,2,32.71
500,1,43.11
541,1,19.96
541,1,28.14
541,1,26.73
91,2,98.77
540,1,34.56
541,1,37.97
541,1,96.41
293,2,52.53
107,2,161.76
526,1,20.15
143,2,148.97
305,2,76.61
284,3,164.03
308,2,94.93
507,1,15.9
509,3,382.23
100,7,1244.34
509,1,15.76
541,1,17.9
515,2,86.2
541,1,9.98
541,1,109.9
73,5,415.29
541,1,41.5
493,1,13.97
40,5,450.1
30,5,468.04
541,1,14.99
541,1,28.19
541,1,34.9
540,1,53.08
2,5,462.94
541,1,77.07
541,1,14.79
541,1,15.36
224,2,59.44
541,1,12.97
541,1,22.53
11,3,371.08
496,1,43.73
230,4,367.82
541,1,11.99
541,1,43.09
529,1,16.3
57,3,171.06
541,1,45.29
135,2,92.7
541,1,23.99
541,1,21.99
23,4,746.04
164,3,130.72
541,1,28.93
526,2,41.91
541,1,26.73
540,1,40.69
9,2,127.94
541,1,11.99
355,2,60.05
389,4,277.83
321,4,403.25
541,1,14.37
487,1,14.37
66,2,80.88
541,1,31.51
541,1,25.74
541,1,9.97
240,4,286.32
206,2,95.97
514,1,37.74
541,1,72.64
541,1,11.99
461,2,55.93
541,1,15.36
541,1,26.34
541,1,12.77
150,3,198.94
541,1,20.99
541,1,56.51
535,1,63.11
133,1,80.53
266,2,38.03
233,2,141.91
131,5,347.61
541,1,56.5
541,1,25.74
296,4,298.46
541,1,29.92
541,1,24.77
541,1,14.9
162,3,123.71
26,1,48.72
541,1,44.37
541,1,38.39
541,1,36.36
153,3,132.57
540,1,15.36
435,1,69.67
226,2,65.3
541,1,9.77
530,1,24.98
1,2,243.45
90,4,389.84
394,3,166.3
86,3,187.07
56,4,202.05
374,2,43.21
541,1,28.74
148,1,86.22
541,1,64.84
541,1,14.37
154,3,112.71
36,6,958.29
451,1,66.93
7,3,89.63
540,1,39.98
540,1,65.85
112,2,88.4
540,1,28.74
540,1,34.74
540,1,34.47
540,1,13.97
228,3,78.08
540,1,14.96
483,2,110.63
540,1,23.95
540,1,55.23
330,2,39.29
540,1,59.13
540,1,14.37
539,2,47.66
334,2,41.5
540,1,29.33
540,1,39.0
540,1,22.7
534,1,12.97
540,1,283.97
371,2,172.01
31,4,272.31
540,1,116.73
540,1,50.27
540,1,53.05
540,1,81.26
232,2,86.61
191,2,62.46
497,1,104.6
99,3,122.5
62,2,114.82
138,4,327.44
505,1,90.56
95,2,83.44
505,2,112.04
508,3,115.59
540,1,30.0
540,1,45.29
191,2,69.42
540,1,125.82
540,1,13.97
540,1,26.14
538,1,18.99
540,1,38.5
540,1,13.97
540,1,26.14
187,3,152.38
198,3,208.99
540,1,69.22
539,1,105.57
28,1,139.79
28,4,388.7
540,1,63.69
60,2,151.33
540,1,32.98
540,1,33.99
540,1,27.94
540,1,45.33
540,1,52.27
538,2,66.22
324,3,135.3
540,1,14.79
540,1,87.4
540,1,12.49
469,3,144.86
540,1,34.94
106,2,101.18
343,3,119.93
540,1,11.77
468,3,163.85
234,2,71.97
540,1,14.37
540,1,25.99
540,1,51.47
540,1,14.37
540,1,12.97
439,1,26.73
540,1,9.98
20,2,74.67
197,2,232.72
26,1,35.52
68,3,187.76
540,1,39.5
165,2,35.73
540,1,25.14
536,2,116.39
14,3,313.22
540,1,156.0
540,1,9.99
540,1,67.84
540,1,26.94
407,2,471.1
540,1,13.77
57,3,161.92
334,4,194.58
242,2,82.48
518,1,8.97
540,1,39.51
540,1,27.96
290,2,63.51
540,1,27.99
540,1,14.37
540,1,11.77
540,1,32.76
540,1,40.53
540,1,13.97
540,1,14.96
18,3,176.47
540,1,33.33
540,1,106.99
534,2,87.85
456,2,65.07
88,1,29.24
214,2,55.94
371,1,39.36
540,1,13.97
540,1,12.49
540,1,29.33
128,2,45.65
540,1,13.99
540,1,11.77
40,6,938.45
213,1,44.82
540,1,12.99
540,1,41.94
540,1,13.97
425,2,61.0
355,2,58.25
540,1,24.99
35,3,110.01
540,1,209.96
540,1,8.77
4,6,747.25
540,1,52.93
177,1,36.98
474,3,153.64
46,3,364.32
537,1,166.3
540,1,44.88
492,2,38.5
540,1,11.77
129,2,189.38
317,2,177.23
540,1,27.77
159,2,34.32
28,3,433.19
114,1,122.39
67,5,1615.72
272,2,137.17
109,4,535.06
368,2,106.16
83,3,176.86
199,3,471.44
357,2,49.28
540,1,18.99
540,1,11.77
93,2,33.95
540,1,18.74
184,1,20.96
540,1,61.48
497,1,17.3
540,1,14.96
145,2,142.18
540,1,8.79
540,1,13.97
514,2,129.41
540,1,14.37
540,1,32.98
540,1,9.98
540,1,28.93
13,2,127.05
540,1,31.52
491,1,22.54
540,1,24.99
235,1,43.31
540,1,13.97
540,1,9.77
540,1,36.51
540,1,33.56
103,3,315.66
55,2,232.45
540,1,19.77
34,2,161.29
34,1,71.47
260,2,59.43
23,2,265.45
540,1,13.77
540,1,30.73
540,1,14.96
540,1,15.36
540,1,16.7
526,2,73.23
536,1,12.49
216,1,43.98
531,1,60.31
40,4,340.64
540,1,29.73
540,1,43.35
539,1,28.37
206,1,54.62
540,1,15.36
540,1,28.93
540,1,27.45
16,5,362.23
540,1,14.37
56,2,166.54
391,3,359.18
540,1,15.36
224,3,200.29
15,2,132.61
481,2,102.57
532,1,15.36
337,2,81.59
537,1,25.74
540,1,5.78
519,1,29.73
540,1,23.99
540,1,50.27
540,1,163.52
528,2,66.65
352,2,225.56
540,1,24.14
540,1,36.31
79,4,417.24
148,1,45.99
157,3,193.88
540,1,5.99
540,1,13.77
480,1,91.68
17,4,386.47
540,1,14.37
159,2,106.22
540,1,14.77
540,1,32.78
448,2,175.38
261,2,56.72
3,2,93.38
531,1,27.94
540,1,14.37
540,1,24.99
540,1,33.76
200,3,126.07
540,1,11.77
540,1,13.97
98,3,166.03
5,5,482.21
540,1,25.94
540,1,12.49
540,1,9.99
60,2,106.31
540,1,30.53
11,1,20.77
540,1,27.76
540,1,14.96
301,2,101.58
540,1,66.46
475,2,75.66
416,2,119.47
31,4,654.98
540,1,26.3
124,2,73.82
540,1,38.98
540,1,38.6
137,2,55.19
540,1,15.96
327,2,232.48
539,1,20.99
276,2,64.47
36,5,339.46
515,1,38.98
522,1,14.37
510,1,5.78
508,1,24.74
539,1,14.79
539,1,12.97
539,1,10.77
539,1,26.74
207,2,61.99
539,1,26.78
486,2,61.27
521,2,41.7
539,1,9.97
539,1,45.98
507,2,43.89
392,2,68.38
236,3,209.65
16,5,411.89
539,1,11.77
539,1,41.98
539,1,38.33
342,1,69.45
0,4,158.97
538,2,130.47
539,1,22.74
507,1,26.14
357,2,70.84
232,2,116.81
503,2,47.89
197,4,607.63
264,3,137.7
539,1,12.49
339,3,445.91
539,1,13.97
371,2,99.65
539,1,29.33
539,1,35.8
539,1,16.7
290,5,508.81
51,3,208.42
463,2,58.89
507,1,28.99
539,1,27.94
150,2,88.82
539,1,14.79
538,1,39.98
3,4,234.43
272,3,131.33
18,2,137.25
21,1,97.97
78,3,342.19
36,1,24.76
342,4,332.88
456,2,42.31
395,1,73.86
300,3,153.05
109,7,1327.23
539,1,25.14
539,1,14.99
0,4,705.86
30,6,386.45
539,1,28.34
139,3,132.6
330,2,68.04
109,3,243.23
539,1,30.32
236,2,121.09
29,3,123.2
276,2,56.98
89,3,176.05
539,1,15.99
487,2,91.93
16,3,357.39
28,5,310.14
539,1,19.99
62,3,142.62
147,5,458.16
535,1,11.77
537,1,30.55
150,1,45.52
536,1,29.99
539,1,19.99
117,2,79.31
539,1,65.33
539,1,12.97
539,1,26.99
539,1,30.72
539,1,14.79
539,1,55.05
56,6,362.85
532,2,45.63
539,1,17.99
167,4,374.86
524,2,41.1
539,1,29.13
428,1,65.66
488,1,117.02
429,2,35.31
118,4,160.08
166,7,578.84
539,1,15.36
56,2,135.27
539,1,26.99
234,2,39.8
32,3,134.26
535,1,51.3
539,1,79.99
503,1,57.36
259,2,137.18
539,1,44.99
117,2,144.7
126,2,63.46
278,3,103.6
146,4,274.83
539,1,31.0
212,3,136.88
539,1,99.99
538,1,98.42
539,1,13.97
539,1,50.97
220,4,273.59
339,2,57.05
59,3,226.64
510,2,87.67
188,2,95.1
525,3,113.58
539,1,17.9
21,2,446.88
539,1,41.99
289,1,52.91
539,1,70.42
536,1,13.77
445,1,49.34
539,1,4.79
201,2,138.64
109,4,536.04
539,1,34.98
539,1,14.37
13,4,214.43
90,3,149.08
539,1,13.97
71,3,160.9
531,2,51.47
442,2,76.2
539,1,19.99
351,2,80.64
539,1,39.37
539,1,29.99
528,2,82.59
539,1,21.77
15,4,332.6
538,1,12.49
63,3,154.1
74,3,211.79
539,1,25.99
20,8,904.76
13,4,515.7
524,2,171.65
505,2,136.83
539,1,12.49
539,1,89.77
28,2,381.96
218,4,196.07
281,2,159.39
526,1,9.97
210,3,302.7
115,2,71.32
474,2,116.97
539,1,30.32
158,2,86.37
507,1,79.7
292,2,111.54
62,1,26.84
17,1,97.35
539,1,28.53
539,1,21.37
384,2,59.05
23,6,447.95
539,1,30.97
212,4,176.1
498,2,58.89
539,1,9.97
72,2,120.18
539,1,11.77
539,1,17.54
202,5,642.44
213,2,95.11
539,1,23.54
0,4,1182.27
539,1,11.77
207,3,257.65
77,2,33.92
12,4,683.79
527,1,35.31
222,2,147.27
539,1,44.97
539,1,20.97
539,1,18.76
176,4,274.86
539,1,11.77
539,1,10.77
537,1,24.98
74,2,77.08
539,1,46.37
219,3,267.57
519,1,32.06
521,1,13.97
34,4,432.6
539,1,30.92
539,1,44.98
539,1,28.13
60,9,1004.86
500,1,15.36
539,1,57.16
539,1,29.33
539,1,9.99
421,2,121.56
539,1,23.99
66,4,165.45
539,1,6.79
